Item Number,Item Name,Office #,UPC Code,On Hand,Wholesale Cost 1,Total Wholesale Cost 2,Your Cost 3,Total Your Cost 4,Retail Price 5,Total Retail Price 6,Profit,Wholesale Cost 1 (GBP),Total Wholesale Cost 2 (GBP),Your Cost 3 (GBP),Total Your Cost 4 (GBP),Retail Price 5 (GBP),Total Retail Price 6 (GBP)
408882044660,HC8323U C6185 TRANSPARENT PINK OMBRE 56/17/140,19871.0,725125371360.0,1.0,88.64,88.64,84.28,84.28,195.0,195.0,106.36,66.48,66.48,63.21,63.21,146.25,146.25
408882049757,HC8350U CD478 BLUE GRADIENT SIGNATURE 54/19/140,19871.0,725125387224.0,1.0,79.94,79.94,76.12,76.12,178.0,178.0,98.06,59.95,59.95,57.09,57.09,133.5,133.5
408882052481,HC8362U CH563 BLACK 57/17/140,19871.0,725125392952.0,1.0,85.91,85.91,81.57,81.57,189.0,189.0,103.09,64.43,64.43,61.18,61.18,141.75,141.75
408882055130,HC8377U CL925 HONEY TORTOISE BLACK GRA 55/18/145,19871.0,725125399920.0,1.0,88.64,88.64,84.28,84.28,195.0,195.0,106.36,66.48,66.48,63.21,63.21,146.25,146.25
408882055284,HC8379U CL920 RUBY PEARL SIGNATURE C 54/19/140,19871.0,725125400046.0,1.0,79.94,79.94,76.12,76.12,179.0,179.0,99.06,59.95,59.95,57.09,57.09,134.25,134.25
400056025468,HAMLET PARK BLUE HORN 52/17/145,19871.0,886453614953.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025451,HAMLET PARK BROWN HORN 52/17/145,19871.0,886453614946.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056025482,TRAILSIDE PARK BLACK LAMINATE 54/17/145,19871.0,886453615035.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056023761,ANCHORAGE AUBERGINE 52/17/130,19871.0,886453532493.0,2.0,59.99,119.98,59.99,119.98,200.0,400.0,280.02,44.99,89.98,44.99,89.98,150.0,300.0
400056023754,ANCHORAGE BLACK 52/17/130,19871.0,886453532424.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026298,ANSONIA BLUE TEAL 52/17/135,19871.0,886453684468.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026274,ANSONIA BROWN TAN 52/17/135,19871.0,886453684369.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026281,ANSONIA PURPLE 52/17/135,19871.0,886453684420.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026304,CANTON BLACK 48/16/125,19871.0,886453684512.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026311,CANTON GREEN SAGE 48/16/125,19871.0,886453684574.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
400056026328,CANTON WINE 48/16/125,19871.0,886453684611.0,1.0,59.99,59.99,59.99,59.99,200.0,200.0,140.01,44.99,44.99,44.99,44.99,150.0,150.0
