Run Date:,,,,6/15/2024,,,,,,,Inventory Valuation,,,,,,,,,,,,,,,,,,Report ID:,,,,AC151A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office: 0019871 - Eagle Vision One- Eagle,,,,,,,,,,,Standard Cost,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Valuation Date: 6/14/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Frames,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"Total
Wholesale
Cost (2)",,,,,"Total
Your
Cost (4)",,,,,"Total
Retail
Price (6)",,
,,,,,,,,,,,,,,,,,,,"Wholesale
Cost (1)",,,,,"Your
Cost (3)",,,,"Retail 
Price (5)",,,,,
,,Item Number,,,,,Item Name,,,,,Office #,,,,UPC Code,,On Hand,,,,,,,,,,,,,,,
,5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,411364000177,,,,,PRIME FUSCHIA TRANSPARENT 46/14/130,,,,,0019871,,,,886453635552,,2,$49.99,,$99.98,,,$39.99,,$79.98,,$79.00,,,$158.00,,
,,411364000184,,,,,PRIME TEAL TRANSPARENT/TORTOISE 46/14/130,,,,,0019871,,,,886453635613,,1,$49.99,,$49.99,,,$39.99,,$39.99,,$79.00,,,$79.00,,
,,411364000191,,,,,SPRING TEAL PURPLE FADE 47/18/130,,,,,0019871,,,,886453635699,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000214,,,,,ZEST BLACK 46/15/125,,,,,0019871,,,,886453635781,,2,$49.99,,$99.98,,,$39.99,,$79.98,,$79.00,,,$158.00,,
,,411364000221,,,,,ZEST LILAC MATTE 46/15/125,,,,,0019871,,,,886453635842,,2,$49.99,,$99.98,,,$39.99,,$79.98,,$79.00,,,$158.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ADVANTAGE CHILDREN Total:,,,,,,,,,21,$749.85,,"$1,049.79",,,$629.85,,$879.79,,"$1,185.00",,,"$1,659.00",,
,ADVANTAGE MEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,400056024485,,,,,M601 BROWN MATTE 56/17/145,,,,,0019871,,,,886453573878,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,400056024478,,,,,M601 PEWTER MATTE 56/17/145,,,,,0019871,,,,886453573830,,1,$49.99,,$49.99,,,$39.99,,$39.99,,$79.00,,,$79.00,,
,,400056024508,,,,,M602 BROWN 55/19/145,,,,,0019871,,,,886453573984,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,400056024492,,,,,M602 GUNMETAL 55/19/145,,,,,0019871,,,,886453573939,,1,$49.99,,$49.99,,,$39.99,,$39.99,,$79.00,,,$79.00,,
,,400056024515,,,,,M603 SILVER 54/16/145,,,,,0019871,,,,886453574059,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,400056024539,,,,,M604 BROWN 51/18/145,,,,,0019871,,,,886453574141,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,400056024546,,,,,M604 GUNMETAL 51/18/145,,,,,0019871,,,,886453574202,,1,$49.99,,$49.99,,,$39.99,,$39.99,,$79.00,,,$79.00,,
,,400056024553,,,,,M605 BROWN 55/17/140,,,,,0019871,,,,886453574257,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,400056024607,,,,,M607 BLACK MATTE 48/20/140,,,,,0019871,,,,886453574530,,1,$49.99,,$49.99,,,$39.99,,$39.99,,$79.00,,,$79.00,,
,,400056024591,,,,,M607 BROWN MATTE 48/20/140,,,,,0019871,,,,886453574479,,2,$49.99,,$99.98,,,$49.99,,$99.98,,$79.00,,,$158.00,,
,,411364000580,,,,,M609 GOLD 56/17/145,,,,,0019871,,,,886453659213,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000603,,,,,M610 GUNMETAL 56/18/145,,,,,0019871,,,,886453659329,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000863,,,,,M613 BROWN MATTE 57/17/150,,,,,0019871,,,,886453686660,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000856,,,,,M613 GUNMETAL 57/17/150,,,,,0019871,,,,886453686615,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000870,,,,,M614 BLACK MATTE 59/18/150,,,,,0019871,,,,886453686714,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000887,,,,,M614 GUNMETAL 59/18/150,,,,,0019871,,,,886453686776,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
,,411364000924,,,,,M615 BLACK/GUNMETAL 52/19/140,,,,,0019871,,,,886453690407,,1,$49.99,,$49.99,,,$49.99,,$49.99,,$79.00,,,$79.00,,
